&&head,
Anolis carolinensis,tas1r1
Alligator mississippiensis,tas1r1
Anser brachyrhynchus,tas1r1
Aptenodytes forsteri,tas1r1
Aquila chrysaetos,tas1r1
Athene cunicularia,tas1r1
Calypte anna,tas1r1
Chelonoidis abingdonii,tas1r1
Chelydra serpentina,tas1r1
Crocodylus porosus,tas1r1
Dromaius novaehollandiae,tas1r1
Falco peregrinus,tas1r1
Haliaeetus leucocephalus,tas1r1
Meleagris gallopavo,tas1r1
Nipponia nippon,tas1r1
Numida meleagris,tas1r1
Pelusios castaneus,tas1r1
Pogona vitticeps,tas1r1
Podarcis muralis,tas1r1
Python bivittatus,tas1r1
Sphenodon punctatus,tas1r1
Tyto alba,tas1r1
Varanus komodoensis,tas1r1
Anolis carolinensis,tas1r2
Alligator mississippiensis,tas1r2
Anser brachyrhynchus,tas1r2
Aptenodytes forsteri,tas1r2
Aquila chrysaetos,tas1r2
Athene cunicularia,tas1r2
Calypte anna,tas1r2
Chelonoidis abingdonii,tas1r2
Chelydra serpentina,tas1r2
Crocodylus porosus,tas1r2
Dromaius novaehollandiae,tas1r2
Falco peregrinus,tas1r2
Haliaeetus leucocephalus,tas1r2
Meleagris gallopavo,tas1r2
Nipponia nippon,tas1r2
Numida meleagris,tas1r2
Pelusios castaneus,tas1r2
Pogona vitticeps,tas1r2
Podarcis muralis,tas1r2
Python bivittatus,tas1r2
Sphenodon punctatus,tas1r2
Tyto alba,tas1r2
Varanus komodoensis,tas1r2
Anolis carolinensis,tas1r3
Alligator mississippiensis,tas1r3
Anser brachyrhynchus,tas1r3
Aptenodytes forsteri,tas1r3
Aquila chrysaetos,tas1r3
Athene cunicularia,tas1r3
Calypte anna,tas1r3
Chelonoidis abingdonii,tas1r3
Chelydra serpentina,tas1r3
Crocodylus porosus,tas1r3
Dromaius novaehollandiae,tas1r3
Falco peregrinus,tas1r3
Haliaeetus leucocephalus,tas1r3
Meleagris gallopavo,tas1r3
Nipponia nippon,tas1r3
Numida meleagris,tas1r3
Pelusios castaneus,tas1r3
Pogona vitticeps,tas1r3
Podarcis muralis,tas1r3
Python bivittatus,tas1r3
Sphenodon punctatus,tas1r3
Tyto alba,tas1r3
Varanus komodoensis,tas1r3
Anolis carolinensis,casr
Alligator mississippiensis,casr
Anser brachyrhynchus,casr
Aptenodytes forsteri,casr
Aquila chrysaetos,casr
Athene cunicularia,casr
Calypte anna,casr
Chelonoidis abingdonii,casr
Chelydra serpentina,casr
Crocodylus porosus,casr
Dromaius novaehollandiae,casr
Falco peregrinus,casr
Haliaeetus leucocephalus,casr
Meleagris gallopavo,casr
Nipponia nippon,casr
Numida meleagris,casr
Pelusios castaneus,casr
Pogona vitticeps,casr
Podarcis muralis,casr
Python bivittatus,casr
Sphenodon punctatus,casr
Tyto alba,casr
Varanus komodoensis,casr
Anolis carolinensis,gprc6a
Alligator mississippiensis,gprc6a
Anser brachyrhynchus,gprc6a
Aptenodytes forsteri,gprc6a
Aquila chrysaetos,gprc6a
Athene cunicularia,gprc6a
Calypte anna,gprc6a
Chelonoidis abingdonii,gprc6a
Chelydra serpentina,gprc6a
Crocodylus porosus,gprc6a
Dromaius novaehollandiae,gprc6a
Falco peregrinus,gprc6a
Haliaeetus leucocephalus,gprc6a
Meleagris gallopavo,gprc6a
Nipponia nippon,gprc6a
Numida meleagris,gprc6a
Pelusios castaneus,gprc6a
Pogona vitticeps,gprc6a
Podarcis muralis,gprc6a
Python bivittatus,gprc6a
Sphenodon punctatus,gprc6a
Tyto alba,gprc6a
Varanus komodoensis,gprc6a
